Time,A0,PotValue
920,1022,255
921,1021,255
922,1022,255
923,1021,255
924,1022,255
925,1021,255
926,1022,255
927,1022,255
928,1022,255
929,1022,255
930,1022,255
931,1021,255
932,1021,255
933,1022,255
934,1022,255
935,1021,255
936,1022,255
937,1022,255
938,1021,255
939,1022,255
940,1022,255
941,1022,255
942,1022,255
943,1022,255
944,1021,255
945,1022,255
946,1021,255
947,1021,255
948,1022,255
949,1021,255
950,1022,255
951,1022,255
952,1021,255
953,1022,255
954,1022,255
955,1022,255
956,1022,255
957,1022,255
958,1021,255
959,1022,255
960,1022,255
961,1022,255
962,1021,255
963,1022,255
964,1022,255
965,1022,255
966,1022,255
967,1022,255
968,1021,255
969,1022,255
970,1022,255
971,1022,255
972,1022,255
973,1022,255
974,1021,255
975,1022,255
976,1022,255
977,1022,255
978,1022,255
979,1021,255
980,1021,255
981,1022,255
982,1022,255
983,1021,255
984,1022,255
985,1022,255
986,1022,255
987,1022,255
988,1021,255
989,1021,255
990,1022,255
991,1022,255
992,1022,255
993,1022,255
994,1022,255
995,1022,255
996,1022,255
997,1022,255
998,1021,255
999,1021,255
1000,1022,255
1001,1022,255
1002,1022,255
1003,1021,255
1004,1022,255
1005,1022,255
1006,1022,255
1007,1022,255
1008,1022,255
1009,1022,255
1010,1021,255
1011,1021,255
1012,1021,255
1013,1021,255
1014,1021,255
1015,1022,255
1016,1022,255
1017,1022,255
1018,1021,255
1019,1022,255
1020,1022,255
1021,1022,255
1022,1022,255
1023,1022,255
1024,1022,255
1025,1022,255
1026,1021,255
1027,1022,255
1028,1022,255
1029,1022,255
1030,1022,255
1031,1022,255
1032,1021,255
1033,1022,255
1034,1021,255
1035,1022,255
1036,1022,255
1037,1022,255
1038,1022,255
1039,1022,255
1040,1022,255
1041,1022,255
1042,1022,255
1043,1022,255
1044,1022,255
1045,1022,255
1046,1022,255
1047,1022,255
1048,1022,255
1049,1022,255
1050,1022,255
1051,1021,255
1052,1022,255
1053,1022,255
1054,1022,255
1055,1022,255
1056,1021,255
1057,1022,255
1058,1022,255
1059,1021,255
1060,1022,255
1061,1021,255
1062,1021,255
1063,1021,255
1064,1021,255
1065,1021,255
1066,1022,255
1067,1022,255
1068,1021,255
1069,1021,255
1070,1021,255
1071,1022,255
1072,1022,255
1073,1022,255
1074,1022,255
1075,1022,255
1076,1022,255
1077,1022,255
1078,1022,255
1079,1022,255
1080,1022,255
1081,1022,255
1082,1021,255
1083,1022,255
1084,1022,255
1085,1022,255
1086,1022,255
1087,1022,255
1088,1021,255
1089,1022,255
1090,1022,255
1091,1022,255
1092,1022,255
1093,1022,255
1094,1022,255
1095,1022,255
1096,1021,255
1097,1021,255
1098,1022,255
1099,1022,255
1100,1022,255
1101,1022,255
1102,1022,255
1103,1022,255
1104,1022,255
1105,1022,255
1106,1021,255
1107,1022,255
1108,1022,255
1109,1022,255
1110,1022,255
1111,1022,255
1112,1022,255
1113,1022,255
1114,1022,255
1115,1022,255
1116,1022,255
1117,1022,255
1118,1022,255
1119,1022,255
1120,1022,255
1121,1022,255
1122,1022,255
1123,1022,255
1124,1022,255
1125,1022,255
1126,1022,255
1127,1022,255
1128,1022,255
1129,1022,255
1130,1022,255
1131,1021,255
1132,1022,255
1133,1022,255
1134,1022,255
1135,1022,255
1136,1023,255
1137,1022,255
1138,1021,255
1139,1022,255
1140,1022,255
1141,1021,255
1142,1022,255
1143,1022,255
1144,1022,255
1145,1022,255
1146,1022,255
1147,1021,255
1148,1022,255
1149,1022,255
1150,1022,255
1151,1021,255
1152,1021,255
1153,1022,255
1154,1021,255
1155,1022,255
1156,1021,255
1157,1021,255
1158,1022,255
1159,1022,255
1160,1021,255
1161,1021,255
1162,1022,255
1163,1021,255
1164,1022,255
1165,1021,255
1166,1022,255
1167,1021,255
1168,1022,255
1169,1022,255
1170,1022,255
1171,1022,255
1172,1022,255
1173,1021,255
1174,1022,255
1175,1022,255
1176,1022,255
1177,1022,255
1178,1022,255
1179,1022,255
1180,1021,255
1181,1022,255
1182,1022,255
1183,1022,255
1184,1022,255
1185,1022,255
1186,1022,255
1187,1022,255
1188,1022,255
1189,1022,255
1190,1021,255
1191,1022,255
1192,1021,255
1193,1022,255
1194,1022,255
1195,1022,255
1196,1022,255
1197,1022,255
1198,1021,255
1199,1022,255
1200,1022,255
1201,1021,255
1202,1022,255
1203,1022,255
1204,1022,255
1205,1022,255
1206,1022,255
1207,1021,255
1208,1022,255
1209,1022,255
1210,1022,255
1211,1022,255
1212,1021,255
1213,1022,255
1214,1022,255
1215,1021,255
1216,1021,255
1217,1022,255
1218,1021,255
1219,1022,255
1220,1022,255
1221,1022,255
1222,1022,255
1223,1022,255
1224,1021,255
1225,1021,255
1226,1022,255
1227,1022,255
1228,1022,255
1229,1022,255
1230,1022,255
1231,1022,255
1232,1021,255
1233,1022,255
1234,1022,255
1235,1022,255
1236,1022,255
1237,1022,255
1238,1021,255
1239,1022,255
1240,1021,255
1241,1022,255
1242,1022,255
1243,1022,255
1244,1022,255
1245,1021,255
1246,1022,255
1247,1021,255
1248,1021,255
1249,1022,255
1250,1022,255
1251,1022,255
1252,1022,255
1253,1022,255
1254,1022,255
1255,1022,255
1256,1022,255
1257,1022,255
1258,1021,255
1259,1022,255
1260,1021,255
1261,1022,255
1262,1022,255
1263,1022,255
1264,1022,255
1265,1022,255
1266,1022,255
1267,1022,255
1268,1021,255
1269,1022,255
1270,1021,255
1271,1022,255
1272,1022,255
1273,1022,255
1274,1022,255
1275,1022,255
1276,1022,255
1277,1022,255
1278,1022,255
1279,1022,255
1280,1022,255
1281,1022,255
1282,1022,255
1283,1022,255
1284,1022,255
1285,1022,255
1286,1022,255
1287,1022,255
1288,1022,255
1289,1022,255
1290,1022,255
1291,1022,255
1292,1022,255
1293,1022,255
1294,1022,255
1295,1022,255
1296,1021,255
1297,1022,255
1298,1021,255
1299,1022,255
1300,1022,255
1301,1022,255
1302,1021,255
1303,1022,255
1304,1022,255
1305,1022,255
1306,1022,255
1307,1022,255
1308,1022,255
1309,1022,255
1310,1022,255
1311,1022,255
1312,1022,255
1313,1022,255
1314,1022,255
1315,1022,255
1316,1022,255
1317,1022,255
1318,1021,255
1319,1022,255
1320,1022,255
1321,1022,255
1322,1021,255
1323,1021,255
1324,1022,255
1325,1022,255
1326,1022,255
1327,1022,255
1328,1022,255
1329,1022,255
1330,1022,255
1331,1021,255
1332,1022,255
1333,1022,255
1334,1022,255
1335,1022,255
1336,1022,255
1337,1022,255
1338,1022,255
1339,1022,255
1340,1021,255
1341,1021,255
1342,1022,255
1343,1022,255
1344,1021,255
1345,1022,255
1346,1022,255
1347,1022,255
1348,1021,255
1349,1022,255
1350,1022,255
1351,1022,255
1352,1022,255
1353,1021,255
1354,1022,255
1355,1021,255
1356,1022,255
1357,1022,255
1358,1022,255
1359,1021,255
1360,1021,255
1361,1022,255
1362,1022,255
1363,1021,255
1364,1022,255
1365,1022,255
1366,1022,255
1367,1021,255
1368,1022,255
1369,1022,255
1370,1022,255
1371,1022,255
1372,1022,255
1373,1022,255
1374,1022,255
1375,1022,255
1376,1022,255
1377,1022,255
1378,1022,255
1379,1022,255
1380,1022,255
1381,1022,255
1382,1022,255
1383,1021,255
1384,1022,255
1385,1022,255
1386,1022,255
1387,1022,255
1388,1022,255
1389,1022,255
1390,1022,255
1391,1022,255
1392,1022,255
1393,1021,255
1394,1021,255
1395,1021,255
1396,1022,255
1397,1022,255
1398,1021,255
1399,1022,255
1400,1021,255
1401,1022,255
1402,1022,255
1403,1022,255
1404,1022,255
1405,1022,255
1406,1022,255
1407,1021,255
1408,1022,255
1409,1022,255
1410,1021,255
1411,1022,255
1412,1022,255
1413,1022,255
1414,1022,255
1415,1022,255
1416,1022,255
1417,1022,255
1418,1022,255
1419,1022,255
1420,1022,255
1421,1022,255
1422,1022,255
1423,1022,255
1424,1022,255
1425,1021,255
1426,1022,255
1427,1022,255
1428,1021,255
1429,1022,255
1430,1022,255
1431,1021,255
1432,1022,255
1433,1021,255
1434,1022,255
1435,1021,255
1436,1022,255
1437,1022,255
1438,1022,255
1439,1022,255
1440,1022,255
1441,1022,255
1442,1021,255
1443,1022,255
1444,1022,255
1445,1021,255
1446,1021,255
1447,1022,255
1448,1021,255
1449,1022,255
1450,1021,255
1451,1022,255
1452,1022,255
1453,1022,255
1454,1022,255
1455,1022,255
1456,1022,255
1457,1022,255
1458,1022,255
1459,1022,255
1460,1022,255
1461,1022,255
1462,1022,255
1463,1022,255
1464,1022,255
1465,1022,255
1466,1022,255
1467,1022,255
1468,1022,255
1469,1022,255
1470,1022,255
1471,1022,255
1472,1022,255
1473,1022,255
1474,1022,255
1475,1022,255
1476,1022,255
1477,1021,255
1478,1022,255
1479,1022,255
1480,1022,255
1481,1022,255
1482,1022,255
1483,1022,255
1484,1022,255
1485,1022,255
1486,1022,255
1487,1021,255
1488,1022,255
1489,1022,255
1490,1021,255
1491,1022,255
1492,1021,255
1493,1021,255
1494,1022,255
1495,1022,255
1496,1022,255
1497,1022,255
1498,1021,255
1499,1022,255
1500,1022,255
1501,1022,255
1502,1022,255
1503,1022,255
1504,1022,255
1505,1022,255
1506,1022,255
1507,1022,255
1508,1022,255
1509,1022,255
1510,1021,255
1511,1021,255
1512,1022,255
1513,1022,255
1514,1021,255
1515,1022,255
1516,1021,255
1517,1022,255
1518,1022,255
1519,1022,255
1520,1022,255
1521,1022,255
1522,1021,255
1523,1022,255
1524,1021,255
1525,1022,255
1526,1022,255
1527,1022,255
1528,1022,255
1529,1022,255
1530,1021,255
1531,1022,255
1532,1021,255
1533,1022,255
1534,1021,255
1535,1021,255
1536,1022,255
1537,1022,255
1538,1022,255
1539,1021,255
1540,1022,255
1541,1022,255
1542,1022,255
1543,1021,255
1544,1022,255
1545,1021,255
1546,1021,255
1547,1021,255
1548,1021,255
1549,1022,255
1550,1022,255
1551,1021,255
1552,1022,255
1553,1022,255
1554,1022,255
1555,1022,255
1556,1022,255
1557,1022,255
1558,1022,255
1559,1022,255
1560,1022,255
1561,1022,255
1562,1022,255
1563,1022,255
1564,1022,255
1565,1022,255
1566,1022,255
1567,1022,255
1568,1022,255
1569,1021,255
1570,1022,255
1571,1022,255
1572,1022,255
1573,1022,255
1574,1022,255
1575,1022,255
1576,1022,255
1577,1022,255
1578,1022,255
1579,1022,255
1580,1022,255
1581,1022,255
1582,1023,255
1583,1021,255
1584,1022,255
1585,1022,255
1586,1022,255
1587,1022,255
1588,1022,255
1589,1022,255
1590,1022,255
1591,1022,255
1592,1022,255
1593,1022,255
1594,1022,255
1595,1022,255
1596,1021,255
1597,1022,255
1598,1022,255
1599,1022,255
1600,1022,255
1601,1022,255
1602,1022,255
1603,1022,255
1604,1021,255
1605,1021,255
1606,1022,255
1607,1022,255
1608,1022,255
1609,1021,255
1610,1021,255
1611,1022,255
1612,1021,255
1613,1022,255
1614,1022,255
1615,1021,255
1616,1022,255
1617,1021,255
1618,1022,255
1619,1022,255
1620,1021,255
1621,1022,255
1622,1022,255
1623,1022,255
1624,1021,255
1625,1022,255
1626,1022,255
1627,1022,255
1628,1022,255
1629,1022,255
1630,1022,255
1631,1021,255
1632,1022,255
1633,1022,255
1634,1022,255
1635,1021,255
1636,1022,255
1637,1021,255
1638,1021,255
1639,1022,255
1640,1021,255
1641,1021,255
1642,1022,255
1643,1022,255
1644,1022,255
1645,1022,255
1646,1022,255
1647,1022,255
1648,1022,255
1649,1022,255
1650,1022,255
1651,1021,255
1652,1022,255
1653,1022,255
1654,1022,255
1655,1022,255
1656,1022,255
1657,1021,255
1658,1021,255
1659,1022,255
1660,1022,255
1661,1022,255
1662,1022,255
1663,1021,255
1664,1022,255
1665,1022,255
1666,1022,255
1667,1022,255
1668,1022,255
1669,1022,255
1670,1022,255
1671,1022,255
1672,1022,255
1673,1022,255
1674,1021,255
1675,1022,255
1676,1022,255
1677,1022,255
1678,1022,255
1679,1021,255
1680,1022,255
1681,1022,255
1682,1022,255
1683,1022,255
1684,1022,255
1685,1022,255
1686,1022,255
1687,1022,255
1688,1021,255
1689,1022,255
1690,1022,255
1691,1022,255
1692,1022,255
1693,1022,255
1694,1022,255
1695,1021,255
1696,1022,255
1697,1022,255
1698,1021,255
1699,1022,255
1700,1022,255
1701,1021,255
1702,1021,255
1703,1021,255
1704,1022,255
1705,1022,255
1706,1022,255
1707,1021,255
1708,1021,255
1709,1022,255
1710,1022,255
1711,1022,255
1712,1022,255
1713,1022,255
1714,1022,255
1715,1022,255
1716,1021,255
1717,1022,255
1718,1022,255
1719,1022,255
1720,1022,255
1721,1021,255
1722,1022,255
1723,1022,255
1724,1022,255
1725,1021,255
1726,1021,255
1727,1022,255
1728,1022,255
1729,1022,255
1730,1021,255
1731,1022,255
1732,1022,255
1733,1022,255
1734,1021,255
1735,1021,255
1736,1022,255
1737,1022,255
1738,1022,255
1739,1022,255
1740,1022,255
1741,1022,255
1742,1022,255
1743,1022,255
1744,1022,255
1745,1022,255
1746,1022,255
1747,1022,255
1748,1021,255
1749,1022,255
1750,1022,255
1751,1022,255
1752,1022,255
1753,1021,255
1754,1022,255
1755,1021,255
1756,1022,255
1757,1022,255
1758,1022,255
1759,1021,255
1760,1021,255
1761,1022,255
1762,1021,255
1763,1022,255
1764,1022,255
1765,1022,255
1766,1022,255
1767,1022,255
1768,1021,255
1769,1022,255
1770,1022,255
1771,1022,255
1772,1022,255
1773,1022,255
1774,1022,255
1775,1022,255
1776,1022,255
1777,1022,255
1778,1022,255
1779,1022,255
1780,1021,255
1781,1022,255
1782,1021,255
1783,1022,255
1784,1022,255
1785,1022,255
1786,1022,255
1787,1022,255
1788,1021,255
1789,1022,255
1790,1022,255
1791,1021,255
1792,1022,255
1793,1022,255
1794,1022,255
1795,1022,255
1796,1021,255
1797,1022,255
1798,1021,255
1799,1022,255
1800,1022,255
1801,1022,255
1802,1022,255
1803,1022,255
1804,1022,255
1805,1022,255
1806,1022,255
1807,1022,255
1808,1021,255
1809,1022,255
1810,1022,255
1811,1022,255
1812,1022,255
1813,1022,255
1814,1022,255
1815,1022,255
1816,1022,255
1817,1022,255
1818,1022,255
1819,1022,255
1820,1022,255
1821,1022,255
1822,1021,255
1823,1022,255
1824,1022,255
1825,1022,255
1826,1021,255
1827,1022,255
1828,1022,255
1829,1022,255
1830,1022,255
1831,1022,255
1832,1022,255
1833,1022,255
1834,1022,255
1835,1022,255
1836,1022,255
1837,1022,255
1838,1022,255
1839,1022,255
1840,1022,255
1841,1022,255
1842,1021,255
1843,1022,255
1844,1022,255
1845,1022,255
1846,1022,255
1847,1021,255
1848,1022,255
1849,1022,255
1850,1022,255
1851,1022,255
1852,1022,255
1853,1022,255
1854,1022,255
1855,1022,255
1856,1022,255
